Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF","TantalC_SizeC_Reflow",27.2500,15.9380,180.0000,bottom
"C2","100nF","SMD-0805",20.1050,34.2320,-90.0000,bottom
"C3","4u7","SMD-0805",5.0250,29.5905,90.0000,bottom
"C4","10uF","SMD-0805",28.8375,12.7630,180.0000,bottom
"C5","1pFNP0 251R15S1R0AV4E","SMD-0805",6.6125,23.5580,180.0000,bottom
"C6","10uF","SMD-0805",19.5030,23.4945,-90.0000,bottom
"C7","10uF","SMD-0805",39.8230,24.5740,90.0000,bottom
"C8","10uF","SMD-0805",32.9650,32.7020,90.0000,bottom
"C9","10uF","SMD-0805",39.9500,16.5730,-90.0000,bottom
"C10","100nF","SMD-0805",10.1050,23.5580,180.0000,bottom
"C11","100nF","SMD-0805",17.4710,23.4945,-90.0000,bottom
"C12","100nF","SMD-0805",37.5370,24.5740,90.0000,bottom
"C13","100nF","SMD-0805",35.2510,32.7020,90.0000,bottom
"C14","100nF","SMD-0805",42.4900,16.5730,-90.0000,bottom
"C15","3n3","SMD-0805",20.0110,27.0505,90.0000,bottom
"C16","100nF","SMD-0805",22.5510,27.1775,-90.0000,bottom
"C17","4u7","SMD-0805",27.1230,28.0030,90.0000,bottom
"C18","2n2","SMD-0805",26.8690,23.4945,90.0000,bottom
"C19","1nF/NP0","SMD-0805",37.5370,28.3840,90.0000,bottom
"C20","100nF","SMD-0805",9.8510,19.2400,-90.0000,bottom
"C21","10uF","SMD-0805",24.1690,34.2320,-90.0000,bottom
"C22","10uF","SMD-0805",78.6520,12.7690,-90.0000,bottom
"C23","10uF","SMD-0805",22.1370,34.2320,-90.0000,bottom
"C24","1uF","SMD-0805",17.8190,34.2955,-90.0000,bottom
"C25","100nF","SMD-0805",63.5390,16.8330,-90.0000,bottom
"C26","100nF","SMD-0805",79.6680,25.3420,0.0000,bottom
"C27","100nF","SMD-0805",80.9380,27.5010,0.0000,bottom
"C28","100nF","SMD-0805",80.9380,29.5330,0.0000,bottom
"C30","15pF","SMD-0805",50.5850,36.6450,0.0000,bottom
"C31","100nF","SMD-0805",72.1750,32.5175,-90.0000,bottom
"C32","100nF","SMD-0805",69.2540,12.8325,-90.0000,bottom
"C33","15pF","SMD-0805",54.2680,36.6450,180.0000,bottom
"C34","100nF","SMD-0805",52.9980,31.5015,90.0000,bottom
"C35","100nF","SMD-0805",63.2850,21.9130,180.0000,bottom
"C36","10uF","SMD-0805",85.0655,17.3410,0.0000,bottom
"C38","10uF","SMD-0805",59.8560,13.0865,90.0000,bottom
"C39","100nF","SMD-0805",63.9200,38.1690,0.0000,bottom
"C40","10uF","SMD-0805",73.9530,29.1520,90.0000,bottom
