Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","KEYS2998","BatteryHolder_Keystone_2998_1x6.8mm",43.9420,45.4660,0.0000,top
"C22","10uF","C_0603_1608Metric",50.8000,23.3680,180.0000,top
"C25","100nF","C_0603_1608Metric",50.8000,25.4000,180.0000,top
"D2","S2744-09","HAMAMATSU_S2744-09",12.8600,8.7500,-90.0000,top
"D3","RED","LED_1206_3216Metric",69.2540,5.0800,-90.0000,top
"D4","GREEN","LED_1206_3216Metric",64.2540,5.0800,-90.0000,top
"D7","GREEN","LED_1206_3216Metric",49.2540,5.0800,-90.0000,top
"D8","GREEN","LED_1206_3216Metric",59.2540,5.0800,-90.0000,top
"D9","GREEN","LED_1206_3216Metric",54.2540,5.0800,-90.0000,top
"D10","GREEN","LED_1206_3216Metric",69.2540,45.7200,-90.0000,top
"J2","SD_Card-FPS009-4200-0","FPS009-4200-0",91.1860,26.6700,0.0000,top
"R17","100R","R_0603_1608Metric",52.3240,32.0040,0.0000,top
"R18","100R","R_0603_1608Metric",50.8000,29.4640,0.0000,top
"R24","100R","R_0603_1608Metric",50.8000,21.3360,0.0000,top
"R25","100R","R_0603_1608Metric",50.8000,17.0180,0.0000,top
.0000,bottom
"C16","100nF","C_0603_1608Metric",18.5420,27.6860,-90.0000,bottom
"C17","1uF","C_0603_1608Metric",22.9616,28.2956,180.0000,bottom
"C18","2n2","C_0603_1608Metric",23.7744,25.5394,90.0000,bottom
"C19","1nF/NP0","C_0805_2012Metric",31.1912,31.3944,90.0000,bottom
"C20","100nF","C_0603_1608Metric",9.1440,16.9672,-90.0000,bottom
"C21","10uF","C_0603_1608Metric",27.1780,34.4932,-90.0000,bottom
"C23","10uF","C_0603_1608Metric",25.0444,34.4932,-90.0000,bottom
"C24","1uF","C_0603_1608Metric",20.8280,34.4932,-90.0000,bottom
"C26","100nF","C_0603_1608Metric",72.3900,34.2900,0.0000,bottom
"C27","100nF","C_0603_1608Metric",72.3900,36.5760,0.0000,bottom
"C28","100nF","C_0603_1608Metric",72.3900,38.6080,0.0000,bottom
"C30","15pF","C_0603_1608Metric",39.8780,32.5120,90.0000,bottom
"C31","100nF","C_0603_1608Metric",63.2460,37.8460,90.0000,bottom
"C32","100nF","C_0603_1608Metric",80.0100,34.0360,180.0000,bottom
"C33","15pF","C_0603_1608Metric",39.8780,35.8140,-90.0000,bottom
"C34","100nF","C_0603_1608Metric",45.9740,34.0360,90.0000,bottom
"C35","100nF","C_0603_1608Metric",55.3720,26.6700,-90.0000,bottom
"C36","100nF","C_0603_1608Metric",58.6740,23.1140,0.0000,bottom
"C37","1uF","C_0603_1608Metric",16.9672,36.9316,-90.0000,bottom
"C38","10uF","C_0603_1608Metric",78.2320,26.9240,-90.0000,bottom
"C39","100nF","C_0603_1608Metric",54.6100,45.4660,90.0000,bottom
"C40","10uF","C_0603_1608Metric",65.5320,34.2900,90.0000,bottom
"C41","10uF","C_0603_1608Metric",75.1840,22.6060,-90.0000,bottom
"C42","10uF","C_0603_1608Metric",74.9300,40.1450,90.0000,bottom
"C43","4u7","C_0603_1608Metric",47.2440,26.4160,0.0000,bottom
"C44","100nF","C_0603_1608Metric",63.2460,34.2900,90.0000,bottom
"C45","100nF","C_0603_1608Metric",70.3580,17.2850,90.0000,bottom
"C46","100nF","C_0603_1608Metric",72.8980,22.6060,-90.0000,bottom
"C47","100nF","C_0603_1608Metric",72.3900,32.0040,0.0000,bottom
"C48","100nF","C_0603_1608Metric",79.2480,18.0340,-90.0000,bottom
"C49","10uF","C_0603_1608Metric",64.5160,23.6220,180.0000,bottom
"C50","10uF","C_0603_1608Metric",76.9620,40.1450,90.0000,bottom
"C51","100nF","C_0603_1608Metric",65.7860,20.8280,-90.0000,bottom
"C53","10uF","R_0603_1608Metric",15.1384,38.3410,-90.0000,bottom
"C54","100nF","C_0603_1608Metric",78.4860,32.2580,0.0000,bottom
"C55","10uF","C_0603_1608Metric",17.4244,16.4592,0.0000,bottom
"C56","10uF","C_0603_1608Metric",30.1752,12.2428,-90.0000,bottom
"C57","10uF","C_0603_1608Metric",32.0040,12.2428,-90.0000,bottom
"C58","10uF","C_0603_1608Metric",14.1224,14.5796,180.0000,bottom
"C59","100nF","C_0603_1608Metric",11.4808,37.3888,-90.0000,bottom
"C60","100nF","C_0603_1608Metric",65.0240,29.2100,-90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",75.1840,30.7340,90.0000,bottom
"D5","BZX585-B5V6.115","D_SOD-523",82.0420,28.4480,0.0000,bottom
"D6","BZX585-B5V6.115","D_SOD-523",82.0420,30.4800,0.0000,bottom
"F2","SR010-15 100mA ","Fuse_0805_2012Metric",78.5645,29.9720,0.0000,bottom
"J1","SM08B-GHS-TB","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",87.8840,38.8620,-90.0000,bottom
"J3","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",87.8840,23.6220,-90.0000,bottom
"L1","10uH - LQH32CN100K23L","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",67.4370,37.7190,180.0000,bottom
"L2","100uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.8160,25.1460,-90.0000,bottom
"L3","DFE252012P-4R7M","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.0580,35.0520,90.0000,bottom
"M8","BMI-S-204-F","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",18.2720,25.4000,0.0000,bottom
"Q1","2SK2394-6","SOT-23",8.6868,37.6428,-90.0000,bottom
"Q2","BC817-25","SOT-23",47.7520,4.5720,180.0000,bottom
"Q3","BC817-25","SOT-23",57.6580,4.5720,180.0000,bottom
"Q4","BC817-25","SOT-23",52.8320,4.5720,180.0000,bottom
"R1","10R","R_0603_1608Metric",29.0576,15.7480,90.0000,bottom
"R2","470R","R_0603_1608Metric",18.2880,23.2156,-90.0000,bottom
"R3","470R","R_0603_1608Metric",31.5976,17.0688,-90.0000,bottom
"R4","470R","R_0603_1608Metric",25.4508,12.5476,180.0000,bottom
"R5","470R","R_0603_1608Metric",17.4244,14.5796,180.0000,bottom
"R6","10M","R_0603_1608Metric",6.8275,21.3300,180.0000,bottom
"R7","10k","R_0603_1608Metric",15.4000,30.8550,-90.0000,bottom
"R8","1k","R_0603_1608Metric",17.0180,30.9185,90.0000,bottom
"R9","4k7","R_0603_1608Metric",14.9860,27.6860,90.0000,bottom
"R10","1k","R_0603_1608Metric",20.3200,27.6860,90.0000,bottom
"R11","4k7","R_0603_1608Metric",21.9964,25.5402,90.0000,bottom
"R12","10k","R_0603_1608Metric",24.3332,19.8628,90.0000,bottom
"R13","2k2","R_0603_1608Metric",28.4358,30.4292,180.0000,bottom
"R14","4k7","R_0603_1608Metric",13.3096,36.0680,-90.0000,bottom
"R15","4k7","R_0603_1608Metric",28.4480,37.2872,0.0000,bottom
"R16","4k7","R_0603_1608Metric",18.7452,35.6108,90.0000,bottom
"R19","4k7","R_0603_1608Metric",24.8920,37.2872,0.0000,bottom
"R20","10k","R_0603_1608Metric",53.8480,16.5100,180.0000,bottom
"R21","10k","R_0603_1608Metric",53.8480,18.2880,180.0000,bottom
"R22","4k7","R_0603_1608Metric",21.2344,37.2872,0.0000,bottom
"R23","10k","R_0603_1608Metric",45.4660,30.2260,90.0000,bottom
"R26","4k7","R_0603_1608Metric",71.1200,12.7000,180.0000,bottom
"R27","10k","R_0603_1608Metric",69.3420,14.7320,180.0000,bottom
"R28","180R","R_0603_1608Metric",69.3420,9.6520,90.0000,bottom
"R29","180R","R_0603_1608Metric",64.2620,9.6520,90.0000,bottom
"R30","5k1","R_0603_1608Metric",87.6300,7.8740,0.0000,bottom
"R31","5k1","R_0603_1608Metric",87.6300,5.8420,0.0000,bottom
"R32","100R","R_0603_1608Metric",78.9940,21.0820,0.0000,bottom
"R33","100R","R_0603_1608Metric",82.2960,25.6540,0.0000,bottom
"R34","100R","R_0603_1608Metric",82.2960,23.8760,0.0000,bottom
"R35","220R","R_0603_1608Metric",49.5300,9.1440,-90.0000,bottom
"R36","220R","R_0603_1608Metric",46.9900,8.1280,90.0000,bottom
"R37","220R","R_0603_1608Metric",59.4360,9.1440,-90.0000,bottom
"R38","180R","R_0603_1608Metric",66.0400,45.9740,-90.0000,bottom
"R39","100R","R_0603_1608Metric",6.4516,17.7292,180.0000,bottom
"R40","470R","R_0603_1608Metric",31.1912,37.2364,-90.0000,bottom
"R41","0R","R_0603_1608Metric",13.3096,39.2176,90.0000,bottom
"R42","220R","R_0603_1608Metric",54.6100,9.1440,-90.0000,bottom
"R43","220R","R_0603_1608Metric",57.1500,8.1280,90.0000,bottom
"R44","220R","R_0603_1608Metric",52.0700,8.1280,90.0000,bottom
"R45","100R","R_0603_1608Metric",52.0700,44.4500,180.0000,bottom
"U1","OPA2314","SOIC-8_3.9x4.9mm_P1.27mm",10.3200,27.6800,0.0000,bottom
"U2","OPA2314","SOIC-8_3.9x4.9mm_P1.27mm",28.7528,26.3144,0.0000,bottom
"U3","ISL21080DIH312Z-TK  1V25","SOT-23",12.1920,18.7960,90.0000,bottom
"U4","TS7211","SOT-23-5_HandSoldering",27.2288,20.1168,-90.0000,bottom
"U5","TS5A4594","SOT-23-5_HandSoldering",21.2852,20.0660,-90.0000,bottom
"U6","AT24CS64-SSHM","SOIC-8_3.9x4.9mm_P1.27mm",60.4520,19.0500,180.0000,bottom
"U7","USBLC6-2SC6","SOT-23-6",78.2320,11.6840,0.0000,bottom
"U8","TPS613222ADBV","SOT-23-5",79.7560,37.3380,90.0000,bottom
"U9","FT231XQ","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",74.6760,17.2720,180.0000,bottom
