Ref,Val,Package,PosX,PosY,Rot,Side
"C1","","",27.4650,16.2500,180.0000,bottom
"C2","","",20.3200,34.5440,-90.0000,bottom
"C3","","",5.2400,29.9025,90.0000,bottom
"C4","","",29.0525,13.0750,180.0000,bottom
"C5","","",6.8275,23.8700,180.0000,bottom
"C6","","",19.7180,23.8065,-90.0000,bottom
"C7","","",40.0380,24.8860,90.0000,bottom
"C8","","",33.1800,33.0140,90.0000,bottom
"C9","","",40.1650,16.8850,-90.0000,bottom
"C10","","",10.3200,23.8700,180.0000,bottom
"C11","","",17.6860,23.8065,-90.0000,bottom
"C12","","",37.7520,24.8860,90.0000,bottom
"C13","","",35.4660,33.0140,90.0000,bottom
"C14","","",42.7050,16.8850,-90.0000,bottom
"C15","","",20.2260,27.3625,90.0000,bottom
"C16","","",22.7660,27.4895,-90.0000,bottom
"C17","","",27.3380,28.3150,90.0000,bottom
"C18","","",27.0840,23.8065,90.0000,bottom
"C19","","",37.7520,28.6960,90.0000,bottom
"C20","","",10.0660,19.5520,-90.0000,bottom
"C21","","",24.3840,34.5440,-90.0000,bottom
"C22","","",68.5800,-20.3200,0.0000,top
"C23","","",22.3520,34.5440,-90.0000,bottom
"C24","","",18.0340,34.6075,-90.0000,bottom
"C25","","",72.7700,-20.3200,0.0000,top
"C26","","",79.8830,25.6540,0.0000,bottom
"C27","","",81.1530,27.8130,0.0000,bottom
"C28","","",81.1530,29.8450,0.0000,bottom
"C30","","",50.8000,36.9570,0.0000,bottom
"C31","","",72.3900,32.8295,-90.0000,bottom
"C32","","",69.4690,13.1445,-90.0000,bottom
"C33","","",54.4830,36.9570,180.0000,bottom
"C34","","",53.2130,31.8135,90.0000,bottom
"C35","","",63.5000,22.2250,180.0000,bottom
"C36","","",81.5900,-12.8700,0.0000,top
"C37","","",34.5200,-54.8900,0.0000,top
"C38","","",133.3600,-9.8700,0.0000,top
"C39","","",64.1350,38.4810,0.0000,bottom
"C40","","",74.1680,29.4640,90.0000,bottom
"C41","","",114.5100,-27.0000,0.0000,top
"C42","","",57.1500,18.8595,90.0000,bottom
"C43","","",81.1530,32.0040,0.0000,bottom
"C44","","",71.8820,29.4640,90.0000,bottom
"C45","","",120.9600,-20.1800,0.0000,top
"C46","","",106.2400,-36.6400,0.0000,top
"C47","","",76.9620,22.4790,-90.0000,bottom
"C48","","",120.7000,-23.0100,0.0000,top
"C49","","",76.2000,-58.4200,0.0000,top
"C50","","",54.9910,18.8595,90.0000,bottom
"C51","","",61.6300,-63.4500,0.0000,top
"C54","","",48.8950,18.7960,-90.0000,bottom
"D1","","",107.9760,-26.5880,0.0000,top
"D2","","",12.8600,8.7500,-90.0000,top
"D3","","",128.1806,-9.7704,0.0000,top
"D4","","",115.5206,-23.6704,0.0000,top
"D5","","",75.8760,-60.9780,0.0000,top
"D6","","",81.0260,-53.8580,0.0000,top
"F2","","",85.2805,19.9390,0.0000,bottom
"J1","","",74.2260,-7.8080,0.0000,top
"J2","","",65.7310,-24.6097,0.0000,top
"J3","","",72.9860,-15.2580,0.0000,top
"L1","","",76.0730,32.8930,180.0000,bottom
"L2","","",30.3300,-45.5900,0.0000,top
"L3","","",61.7220,20.0660,180.0000,bottom
"M8","","",17.2720,25.4000,0.0000,top
"Q1","","",30.1411,-52.9832,0.0000,top
"R1","","",42.3240,34.5380,90.0000,bottom
"R2","","",15.4000,24.8225,-90.0000,bottom
"R3","","",35.7200,20.6950,-90.0000,bottom
"R4","","",30.8940,33.0140,90.0000,bottom
"R5","","",36.9900,17.5200,180.0000,bottom
"R6","","",6.8275,21.3300,180.0000,bottom
"R7","","",15.4000,30.8550,-90.0000,bottom
"R8","","",17.9400,30.9185,90.0000,bottom
"R9","","",17.9400,27.3625,90.0000,bottom
"R10","","",24.7980,27.4895,90.0000,bottom
"R11","","",24.7980,23.8065,90.0000,bottom
"R12","","",42.7050,24.5050,90.0000,bottom
"R13","","",40.5460,27.9340,0.0000,bottom
"R14","","",34.0900,-52.2200,0.0000,top
"R15","","",26.9875,38.1000,0.0000,bottom
"R16","","",30.3300,-56.4200,0.0000,top
"R17","","",34.5200,-45.5900,0.0000,top
"R18","","",38.7100,-42.9200,0.0000,top
"R19","","",23.1775,38.1000,0.0000,bottom
"R20","","",77.1525,28.3210,0.0000,bottom
"R21","","",76.2000,25.9080,0.0000,bottom
"R22","","",19.3675,38.1000,0.0000,bottom
"R23","","",50.6095,30.9880,0.0000,bottom
"R24","","",34.5200,-42.9200,0.0000,top
"R25","","",30.3300,-42.9200,0.0000,top
"R26","","",108.2800,-32.9500,0.0000,top
"R27","","",127.1900,-15.7700,0.0000,top
"R28","","",127.1900,-13.1000,0.0000,top
"R29","","",102.0500,-36.6400,0.0000,top
"R30","","",65.8200,-63.4500,0.0000,top
"R31","","",70.0100,-63.4500,0.0000,top
"U1","","",10.3200,27.6800,0.0000,bottom
"U2","","",32.6720,25.6480,0.0000,bottom
"U3","","",15.4160,19.5520,0.0000,bottom
"U4","","",38.7680,33.5220,90.0000,bottom
"U5","","",41.4350,20.6950,0.0000,bottom
"U6","","",86.1960,-7.3080,0.0000,top
"U7","","",133.8960,-6.3080,0.0000,top
"U8","","",60.5790,17.2720,180.0000,bottom
"U9","","",103.0760,-24.7980,0.0000,top
"U10","","",63.2500,30.6400,0.0000,bottom
"U11","","",72.3900,23.8760,90.0000,bottom
"U12","","",76.6760,-54.8580,0.0000,top
