Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","KEYS2998","BatteryHolder_Keystone_2998_1x6.8mm",142.7143,-78.9309,0.0000,top
"C1","47uF","C_0805_2012Metric",141.9015,-84.5189,180.0000,bottom
"C2","100nF","C_0805_2012Metric",121.7339,-89.5227,-90.0000,bottom
"C3","1uF","C_1210_3225Metric",103.8523,-94.0185,90.0000,bottom
"C4","100nF","C_0805_2012Metric",106.0621,-108.6235,180.0000,bottom
"C5","1pF/NP0 251R15S1R0AV4E","C_0805_2012Metric",105.6557,-100.0129,180.0000,bottom
"C6","100nF","C_0805_2012Metric",112.7931,-100.0129,0.0000,bottom
"C7","10uF","CP_EIA-3216-18_Kemet-A",129.4301,-104.4579,180.0000,bottom
"C8","10uF","CP_EIA-3216-18_Kemet-A",122.4197,-110.4269,180.0000,bottom
"C9","10uF","C_0805_2012Metric",118.2287,-110.0967,0.0000,bottom
"C10","100nF","C_0805_2012Metric",109.2371,-100.0129,180.0000,bottom
"C11","10uF","CP_EIA-3216-18_Kemet-A",109.8213,-102.1465,180.0000,bottom
"C12","100nF","C_0805_2012Metric",129.7095,-102.0449,180.0000,bottom
"C13","100nF","C_0805_2012Metric",122.2673,-108.2171,180.0000,bottom
"C14","100nF","C_0805_2012Metric",118.2287,-108.0647,0.0000,bottom
"C15","3n3","C_0805_2012Metric",116.2221,-96.9141,90.0000,bottom
"C16","100nF","C_0805_2012Metric",116.2221,-100.5463,90.0000,bottom
"C17","1uF","C_1210_3225Metric",122.1403,-94.8059,90.0000,bottom
"C18","3n3","C_0805_2012Metric",122.4959,-99.8097,90.0000,bottom
"C19","1nF/NP0","C_0805_2012Metric",130.6239,-93.4851,90.0000,bottom
"C20","100nF","C_0805_2012Metric",114.5457,-108.0647,180.0000,bottom
"C21","10uF","CP_EIA-3216-18_Kemet-A",126.2043,-89.9037,-90.0000,bottom
"C22","10uF","C_0805_2012Metric",149.2675,-98.5397,90.0000,top
"C23","10uF","CP_EIA-3216-18_Kemet-A",123.8929,-89.9291,-90.0000,bottom
"C24","1uF","C_1210_3225Metric",118.8383,-91.6309,-90.0000,bottom
"C25","100nF","C_0805_2012Metric",151.4011,-98.5397,90.0000,top
"C26","100nF","C_0805_2012Metric",155.6175,-105.4993,-90.0000,bottom
"C27","100nF","C_0805_2012Metric",157.9035,-105.4993,-90.0000,bottom
"C28","100nF","C_0805_2012Metric",160.1387,-105.4993,-90.0000,bottom
"C29","1nF/NP0","C_0805_2012Metric",148.9063,-94.5029,-90.0000,bottom
"C30","15pF","C_0805_2012Metric",152.7219,-77.9657,180.0000,bottom
"C31","100nF","C_0805_2012Metric",159.1151,-98.5357,180.0000,bottom
"C32","47uF","C_0805_2012Metric",142.8667,-87.9225,-90.0000,bottom
"C33","15pF","C_0805_2012Metric",163.2883,-77.9657,0.0000,bottom
"C34","100nF","C_0805_2012Metric",155.5591,-81.2637,0.0000,bottom
"C35","100nF","C_0805_2012Metric",148.5563,-89.9037,90.0000,bottom
"C36","100nF","C_0805_2012Metric",136.7707,-104.2293,-90.0000,bottom
