Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.params,sim.pins,sim.type
1,Single-cell battery,Battery_Cell,BT1,KEYS2998,BatteryHolder_Keystone_2998_1x6.8mm,1,~,5c70984412875079b91f87ea,,,,
2,Unpolarized capacitor,C,C30C33,15pF,C_0805_2012Metric,2,~,5c70984712875079b91f8b32,,,,
3,Unpolarized capacitor,C,C15C18,1nF,C_0805_2012Metric,2,~,5c70984812875079b91f8ba6,,,,
4,Unpolarized capacitor,C,C2C4C6C10C12C13C14C16C20C25C26C27C28C31C34C35C36C39C44C45C46C47C48C51C54C56C59C60,100nF,C_0805_2012Metric,28,~,6508260b462c6d9e720541f1 5c70984712875079b91f8b4c,,,,
5,Unpolarized capacitor,C,C3C17C24C37,1uF,C_1210_3225Metric,4,~,65082f52462c6d9e72054238,,,,
6,Unpolarized capacitor,C,C43,4u7,C_0805_2012Metric,1,~,5e3ff8fc1287502a33bad7a3,,,,
7,"Polarized capacitor, small symbol",C_Polarized_Small,C7C8C11C21C23C40C42C50C53C55,10uF,CP_EIA-3216-18_Kemet-A,10,https://eu.mouser.com/datasheet/2/40/TAJ-3165264.pdf,65089dd0462c6d9e720542b3,,,,
8,Unpolarized capacitor,C,C9C22C38C41C49,10uF,C_0805_2012Metric,5,~,5c70984712875079b91f8b53,,,,
9,Unpolarized capacitor,C,C1C32,47uF,C_0805_2012Metric,2,~,5c70984812875079b91f8bbf,,,,
10,Feedthrough capacitor,C_Feedthrough,C52,100R,FIR_0805,1,~,5c70984512875079b91f8977,,,,
11,Unpolarized capacitor,C,C19C29,1nF/NP0,C_0805_2012Metric,2,~,5c70984812875079b91f8ba6,,,,
12,Unpolarized capacitor,C,C5,1pF/NP0 251R15S1R0AV4E,C_0805_2012Metric,1,~,5c70984712875079b91f8b9f,,,,
13,Light emitting diode,LED,D9,BLUE,LED_1206_3216Metric,1,~,5c70984512875079b91f8898,,,,
14,,D_ZENER,D1D5D6D11,BZX585-B5V6.115,D_SOD-523,4,https://www.tme.eu/Document/7f59fc987b8fce7e4ab18399d6e66bd1/BZX585-DTE.pdf,60879d38128750769ee58e48,,,,
15,Light emitting diode,LED,D8,GREEN,LED_1206_3216Metric,1,~,5c70984412875079b91f8895,,,,
16,Light emitting diode,LED,D7D10,RED,LED_1206_3216Metric,2,~,5c70984412875079b91f8896,,,,
17,Photodiode,D_Photo,D2,S2744-09,HAMAMATSU_S2744-09,1,https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/ssd/s2744-08_etc_kpin1049e.pdf,628d118cdc56076e9a2235e4,,,,
18,Light emitting diode,LED,D3D4,YELLOW,LED_1206_3216Metric,2,~,5c70984412875079b91f8897,,,,
19,"Resettable fuse, polymeric positive temperature coefficient",Polyfuse,F2,SR010-15 100mA,Fuse_0805_2012Metric,1,~,5cc331a7128750448e54e8fa,,,,
